altitude,direction,distance,heading,latitude,local_time,longitude,matched_altitude,matched_heading,matched_latitude,matched_link_id,matched_longitude,mo_id,properties/L/Aircon_ACStatus_Front,properties/L/Aircon_AirRecirculationMode,properties/L/Aircon_FanStatus_Front,properties/L/Aircon_Mode_DR,properties/L/Aircon_RemoteControl_Status,properties/L/Aircon_TemperatureSetting_DR,properties/L/Aircon_TemperatureSetting_ValueType,properties/L/Brake_ParkingBrake (IG1PullUp),properties/L/MeterIndicator_ABS,properties/L/MeterIndicator_AutoStop_Amber,properties/L/MeterIndicator_BATT,properties/L/MeterIndicator_Brake_Amber,properties/L/MeterIndicator_Brake_Red,properties/L/MeterIndicator_CruiseControl,properties/L/MeterIndicator_CruiseMain,properties/L/MeterIndicator_DoorOpen,properties/L/MeterIndicator_ECO,properties/L/MeterIndicator_EPS,properties/L/MeterIndicator_Engine_Failure,properties/L/MeterIndicator_FrontFog,properties/L/MeterIndicator_HeadlightControl_Failure,properties/L/MeterIndicator_Headlight_High,properties/L/MeterIndicator_Headlight_Small,properties/L/MeterIndicator_LowFuel_GAS,properties/L/MeterIndicator_Oil_Pressure,properties/L/MeterIndicator_ParkingSensor_Amber,properties/L/MeterIndicator_PowerSystem_Failure,properties/L/MeterIndicator_SRS,properties/L/MeterIndicator_Seatbelt,properties/L/MeterIndicator_Seatbelt_RC,properties/L/MeterIndicator_Seatbelt_RL,properties/L/MeterIndicator_Seatbelt_RR,properties/L/MeterIndicator_SmartEntry,properties/L/MeterIndicator_SportMode,properties/L/MeterIndicator_TEMP_Cold_Hot,properties/L/MeterIndicator_TEMP_Hot,properties/L/MeterIndicator_TPMS_DWS,properties/L/MeterIndicator_VSA_Act,properties/L/MeterIndicator_Washer_Empty,properties/L/RemoteEngineStarter_PowerMode,properties/L/SeatBeltReminder_DR,properties/L/SeatBeltReminder_RC,properties/L/SeatBeltReminder_RL,properties/L/SeatBeltReminder_RR,properties/L/SeatbeltStatus_DR,properties/L/SecurityAlarm,properties/O/EngineCoolantTemp,properties/O/FuelLevel,properties/O/FuelLevelRaw,properties/O/VehicleInteriorTemperature,properties/O/ccMainSw,properties/O/distanceToEmpty,properties/O/engineRpm,properties/O/fuelMode,properties/O/fuelRatio,properties/O/ignitionOnTime,properties/O/meterIndicatorLowFuel,properties/O/odometer,properties/O/seatBeltStatus,properties/O/tcuAcc,properties/O/tcuAccuracy,properties/O/tcuBatteryVoltage,properties/O/tcuIgnitionStatus,properties/O/tripEndTime,properties/O/tripStartLat,properties/O/tripStartLong,properties/O/tripStartTime,properties/O/tripStatus,road_type,speed,timestamp,trip_id
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:50.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,26,,4.140625,26,OFF,0,1400,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,5,14.8,ON,,,,,,5,0,1.59479E+12,
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:53.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,27,,4.12109375,26,OFF,0,1389,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,5,14.8,ON,,,,,,5,0,1.59479E+12,
,2,77.9807663,49.20000076,12.71222,2020-07-15T10:29:56.000+05:30,77.8914,,106.2426453,12.71243684,72361541,77.89146434,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,28,,4.140625,26,OFF,0,1387,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,5,14.8,ON,,,,,,5,0,1.59479E+12,
,1,92.76371765,0,12.71219,2020-07-15T10:29:59.000+05:30,77.89162,,286.2426453,12.71237649,72361541,77.89167534,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,29,,4.12109375,26,OFF,0,1391,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,44,14.8,ON,,,,,,5,0,1.59479E+12,
,1,97.97742462,0,12.71219,2020-07-15T10:30:02.000+05:30,77.89157,,286.2426453,12.71238967,72361541,77.89162925,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,31,,4.12109375,26,OFF,0,1378,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,33,14.8,ON,,,,,,5,0,1.59479E+12,
,1,116.4373474,0,12.71218,2020-07-15T10:30:05.000+05:30,77.89139,,286.2426453,12.71243635,72361541,77.89146606,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,32,,4.12109375,26,OFF,0,1339,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,20,14.8,ON,,,,,,5,0,1.59479E+12,
,1,126.1314163,0,12.71219,2020-07-15T10:30:08.000+05:30,77.8913,,286.2426453,12.71246086,72361541,77.89138037,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,34,,4.12109375,26,OFF,0,1314,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,14,14.8,ON,,,,,,5,0,1.59479E+12,
,1,126.1314163,0,12.71218,2020-07-15T10:30:11.000+05:30,77.8913,,286.2426453,12.71246086,72361541,77.89138037,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,35,,4.12109375,26,OFF,0,1267,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,11,14.8,ON,,,,,,5,0,1.59479E+12,
,1,127.9074936,0,12.71218,2020-07-15T10:30:14.000+05:30,77.89128,,286.2426453,12.71246535,72361541,77.89136467,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,37,,4.12109375,26,OFF,0,1269,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,10,14.8,ON,,,,,,5,0,1.59479E+12,
,1,126.1314163,0,12.71219,2020-07-15T10:30:17.000+05:30,77.8913,,286.2426453,12.71246086,72361541,77.89138037,MOBL153HHT0015627,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,ON,OFF,OFF,OFF,OFF,OFF,38,,4.140625,26,OFF,0,1234,Fail safe mode,0,2020-07-15T10:29:35Z,ON,4,,ON,8,14.8,ON,,,,,,5,0,1.59479E+12,
